City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chanute,US,37.68,-95.46,32.0,97,90,9.17,freezing rain
1,Hobart,AU,-42.88,147.33,48.2,93,75,4.7,broken clouds
2,Albany,US,42.6,-73.97,51.01,63,56,6.17,broken clouds
3,Pozo Colorado,PY,-23.49,-58.8,93.49,24,0,3.33,clear sky
4,Hermanus,ZA,-34.42,19.23,64.0,85,99,4.0,overcast clouds
5,Fortuna,US,40.6,-124.16,55.4,35,1,8.05,clear sky
6,Saint-Philippe,RE,-21.36,55.77,75.2,73,75,2.24,broken clouds
7,Busselton,AU,-33.65,115.33,60.01,72,60,10.22,broken clouds
8,Hilo,US,19.73,-155.09,73.4,88,75,5.64,broken clouds
9,Yellowknife,CA,62.46,-114.35,19.4,67,90,11.41,light snow
10,Upernavik,GL,72.79,-56.15,18.07,84,0,7.0,clear sky
11,Pisco,PE,-13.7,-76.22,69.8,68,0,8.05,clear sky
12,Bengkulu,ID,-3.8,102.27,75.96,86,95,3.51,light rain
13,Atuona,PF,-9.8,-139.03,77.99,77,45,22.93,light rain
14,Ushuaia,AR,-54.8,-68.3,44.6,48,40,19.46,scattered clouds
15,Tiksi,RU,71.69,128.87,1.54,92,90,8.12,overcast clouds
16,Yaan,NG,7.38,8.57,83.12,62,9,0.76,clear sky
17,Port Alfred,ZA,-33.59,26.89,71.37,87,70,11.32,broken clouds
18,Lorengau,PG,-2.02,147.27,80.26,76,83,1.39,broken clouds
19,Puerto Ayora,EC,-0.74,-90.35,73.4,78,75,11.41,broken clouds
20,Tasiilaq,GL,65.61,-37.64,33.8,47,75,17.22,broken clouds
21,Kununurra,AU,-15.77,128.73,78.8,88,80,5.82,broken clouds
22,Shitanjing,CN,39.23,106.34,41.86,55,100,1.3,overcast clouds
23,Esperance,AU,-33.87,121.9,55.4,100,15,4.7,few clouds
24,Rikitea,PF,-23.12,-134.97,75.11,85,73,16.53,broken clouds
25,Fairbanks,US,64.84,-147.72,27.0,100,90,3.36,light snow
26,Mar Del Plata,AR,-38.0,-57.56,66.2,55,0,10.29,clear sky
27,Kapaa,US,22.08,-159.32,71.6,83,40,8.05,scattered clouds
28,Mataura,NZ,-46.19,168.86,39.0,92,16,1.01,few clouds
29,New Norfolk,AU,-42.78,147.06,46.99,85,98,1.68,overcast clouds
30,Barrow,US,71.29,-156.79,30.2,80,75,9.17,broken clouds
31,Loreto,MX,22.27,-101.97,71.92,42,89,7.63,overcast clouds
32,Saint Marys,US,30.73,-81.55,82.0,81,73,7.0,broken clouds
33,Hasaki,JP,35.73,140.83,55.0,93,20,5.82,few clouds
34,Yondo,CO,7.01,-73.91,92.62,53,65,0.81,heavy intensity rain
35,Jamestown,US,42.1,-79.24,46.0,87,90,5.82,overcast clouds
36,Samarai,PG,-10.62,150.67,80.83,84,80,6.58,broken clouds
37,Punta Arenas,CL,-53.15,-70.92,48.2,45,40,12.75,scattered clouds
38,Okha,RU,53.57,142.95,35.85,86,93,3.6,overcast clouds
39,Russkiy Kameshkir,RU,52.86,46.09,32.65,88,29,5.61,scattered clouds
40,Benicarlo,ES,40.42,0.43,55.99,55,19,3.0,few clouds
41,Zaraza,VE,9.35,-65.32,85.59,73,24,5.37,light rain
42,Vaini,TO,-21.2,-175.2,71.6,88,40,9.17,scattered clouds
43,Cape Town,ZA,-33.93,18.42,66.0,72,40,3.36,scattered clouds
44,Yeppoon,AU,-23.13,150.73,68.0,88,74,6.17,broken clouds
45,Torbay,CA,47.67,-52.73,41.0,100,90,9.17,light rain
46,Port Lincoln,AU,-34.73,135.87,55.17,88,0,5.91,clear sky
47,Tocok,PH,15.75,120.3,78.8,88,75,4.7,broken clouds
48,Port Elizabeth,ZA,-33.92,25.57,64.4,88,0,11.41,clear sky
49,Bolobo,CD,-2.17,16.23,79.57,74,42,0.89,light rain
50,Talnakh,RU,69.49,88.4,1.4,84,0,6.71,clear sky
51,Kericho,KE,-0.37,35.28,73.4,69,75,3.36,broken clouds
52,Kaitangata,NZ,-46.28,169.85,48.0,78,4,1.99,clear sky
53,Aldan,RU,58.6,125.39,9.57,96,100,7.2,light snow
54,Nizhniy Odes,RU,63.64,54.86,29.1,98,100,8.21,overcast clouds
55,Balaipungut,ID,1.05,101.28,75.97,89,81,0.67,light rain
56,Acajutla,SV,13.59,-89.83,82.4,65,40,2.24,scattered clouds
57,Nemuro,JP,43.32,145.57,49.69,69,53,4.03,broken clouds
58,Port Hedland,AU,-20.32,118.57,71.6,88,40,4.7,scattered clouds
59,Canico,PT,32.63,-16.85,68.0,68,75,12.75,broken clouds
60,Tabory,RU,58.52,64.55,21.13,96,92,8.3,overcast clouds
61,Quatre Cocos,MU,-20.21,57.76,75.2,73,75,5.82,broken clouds
62,Batticaloa,LK,7.71,81.69,80.49,80,34,5.28,moderate rain
63,Klaksvik,FO,62.23,-6.59,42.8,75,49,6.93,scattered clouds
64,Moyale,KE,3.52,39.06,70.56,78,42,6.55,light rain
65,Wanning,CN,18.8,110.4,77.31,91,100,20.62,light rain
66,Iqaluit,CA,63.75,-68.51,15.8,72,40,5.82,light snow
67,Avarua,CK,-21.21,-159.78,69.8,83,100,8.05,light rain
68,Severo-Kurilsk,RU,50.68,156.12,42.33,84,6,7.02,clear sky
69,Marhaura,IN,25.97,84.87,68.0,77,0,5.61,mist
70,Stepnyak,KZ,52.83,70.78,31.24,98,98,16.44,overcast clouds
71,Chokurdakh,RU,70.63,147.92,8.24,95,100,2.26,overcast clouds
72,Provideniya,RU,64.38,-173.3,30.13,95,88,2.71,overcast clouds
73,San Cristobal,VE,7.77,-72.22,86.0,58,40,5.82,scattered clouds
74,Kruisfontein,ZA,-34.0,24.73,66.99,84,90,1.99,overcast clouds
75,Pacific Grove,US,36.62,-121.92,62.01,24,1,4.7,clear sky
76,Luderitz,NA,-26.65,15.16,60.82,69,57,14.14,broken clouds
77,Yar-Sale,RU,66.83,70.83,4.15,94,13,6.85,few clouds
78,Ayacucho,PE,-13.16,-74.22,71.6,33,20,2.24,few clouds
79,Cabo San Lucas,MX,22.89,-109.91,82.99,69,5,4.72,clear sky
80,Biltine,TD,14.53,20.92,90.12,14,2,9.13,clear sky
81,Chuy,UY,-33.7,-53.46,63.27,80,100,16.87,light rain
82,Cockburn Town,TC,21.46,-71.14,86.0,66,75,11.41,broken clouds
83,Vaitape,PF,-16.52,-151.75,80.51,81,77,17.45,broken clouds
84,Pevek,RU,69.7,170.31,19.94,96,100,16.58,light snow
85,Santa Rosa,PH,14.31,121.11,81.0,83,40,1.12,scattered clouds
86,Jibuti,DJ,11.5,42.5,84.2,58,1,6.93,clear sky
87,Thinadhoo,MV,0.53,72.93,83.73,68,37,8.34,scattered clouds
88,Castro,BR,-24.79,-50.01,77.95,41,21,9.51,few clouds
89,Pangnirtung,CA,66.15,-65.71,14.0,61,20,5.82,few clouds
90,Praia Da Vitoria,PT,38.73,-27.07,66.2,63,40,14.25,scattered clouds
91,Djenne,ML,13.91,-4.55,97.36,9,12,8.81,few clouds
92,Sibolga,ID,1.74,98.78,76.89,78,10,3.24,clear sky
93,Edd,ER,13.93,41.69,86.04,50,0,16.26,clear sky
94,Ukiah,US,39.15,-123.21,70.0,48,1,2.13,clear sky
95,Bambanglipuro,ID,-7.95,110.28,76.59,88,93,2.86,overcast clouds
96,Kupang,ID,-10.17,123.58,80.29,77,32,5.84,scattered clouds
97,Natchez,US,31.56,-91.4,71.6,83,1,6.93,clear sky
98,Cidreira,BR,-30.18,-50.21,65.86,76,92,17.96,light rain
99,Cayenne,GF,4.93,-52.33,89.6,62,0,9.17,clear sky
100,Ribeira Grande,PT,38.52,-28.7,69.8,56,40,8.05,scattered clouds
101,Bethel,US,41.37,-73.41,55.0,62,40,5.82,scattered clouds
102,Dudinka,RU,69.41,86.18,1.4,84,0,6.71,clear sky
103,Ilulissat,GL,69.22,-51.1,24.8,58,75,4.16,broken clouds
104,Norman Wells,CA,65.28,-126.83,21.2,92,75,11.41,light snow
105,Sambava,MG,-14.27,50.17,74.7,85,1,6.55,clear sky
106,Ponta Do Sol,PT,32.67,-17.1,68.0,68,75,12.75,broken clouds
107,Kavaratti,IN,10.57,72.64,82.08,73,29,6.29,scattered clouds
108,Black River,JM,18.03,-77.85,87.8,70,20,13.87,few clouds
109,Kaunas,LT,54.9,23.9,55.4,82,90,5.82,overcast clouds
110,Nata,PA,8.33,-80.52,84.2,79,20,4.7,few clouds
111,Yarmouth,US,41.71,-70.23,57.0,76,90,8.05,overcast clouds
112,Victoria,HK,22.29,114.16,77.0,73,85,3.0,overcast clouds
113,Bluff,NZ,-46.6,168.33,39.0,92,4,1.01,clear sky
114,Baiyin,CN,36.56,104.21,39.0,100,90,2.24,mist
115,Ust-Kuyga,RU,70.02,135.6,6.87,94,100,2.19,overcast clouds
116,Sept-Iles,CA,50.2,-66.38,36.0,74,75,8.05,broken clouds
117,Mahebourg,MU,-20.41,57.7,75.2,73,75,5.82,broken clouds
118,Kovdor,RU,67.57,30.48,38.16,98,100,5.66,light rain
119,Jamame,SO,0.07,42.75,79.18,82,80,8.79,broken clouds
120,Belmonte,BR,-15.86,-38.88,86.0,66,40,14.99,scattered clouds
121,Turukhansk,RU,65.82,87.98,1.53,86,0,12.8,clear sky
122,Port Blair,IN,11.67,92.75,80.13,77,2,2.75,clear sky
123,Haines Junction,CA,60.75,-137.51,28.26,92,95,3.2,overcast clouds
124,Qaanaaq,GL,77.48,-69.36,8.69,78,82,12.37,broken clouds
125,Krasnovishersk,RU,60.41,57.08,25.14,96,100,3.83,overcast clouds
126,Ancud,CL,-41.87,-73.82,53.6,66,40,18.34,scattered clouds
127,Georgetown,MY,5.41,100.34,82.4,83,20,3.36,few clouds
128,Inza,RU,53.85,46.36,32.34,89,88,4.72,overcast clouds
129,Egvekinot,RU,66.32,-179.17,17.11,92,81,8.01,broken clouds
130,Tshikapa,CD,-6.42,20.8,75.56,86,69,1.21,light rain
131,Carnarvon,AU,-24.87,113.63,69.8,83,40,23.04,scattered clouds
132,Airai,TL,-8.93,125.41,61.29,100,92,0.96,overcast clouds
133,Dingle,PH,11.0,122.67,77.13,82,95,4.9,overcast clouds
134,Tuktoyaktuk,CA,69.45,-133.04,10.4,85,90,13.87,mist
135,Nikolskoye,RU,59.7,30.79,53.6,76,75,6.71,broken clouds
136,Namibe,AO,-15.2,12.15,71.08,78,21,8.59,few clouds
137,Dunedin,NZ,-45.87,170.5,46.99,86,1,3.67,clear sky
138,Otane,NZ,-39.88,176.63,46.99,94,100,1.95,light rain
139,Bereda,ES,43.27,-7.54,57.99,99,98,15.99,light rain
140,Bathsheba,BB,13.22,-59.52,86.0,74,40,21.92,shower rain
141,East London,ZA,-33.02,27.91,69.8,88,0,4.7,clear sky
142,Bonthe,SL,7.53,-12.51,84.63,71,75,8.12,light rain
143,Rio Grande,BR,-32.03,-52.1,59.0,99,100,8.01,light rain
144,Saldanha,ZA,-33.01,17.94,64.4,72,100,9.17,overcast clouds
145,Butaritari,KI,3.07,172.79,80.82,69,85,8.21,overcast clouds
146,Seminole,US,28.71,-81.21,86.0,66,40,11.41,scattered clouds
147,Lebu,CL,-37.62,-73.65,54.09,64,21,11.27,few clouds
148,Patnanungan,PH,14.78,122.18,80.06,81,88,4.54,moderate rain
149,Nerchinsk,RU,51.98,116.58,22.42,88,0,3.74,clear sky
150,Palermo,IT,37.82,13.58,64.0,1,74,6.89,broken clouds
151,Praia,CV,14.92,-23.51,89.6,46,96,6.93,overcast clouds
152,Lavrentiya,RU,65.58,-171.0,30.38,96,99,7.43,overcast clouds
153,Mirnyy,RU,62.54,113.96,10.4,85,40,2.24,light snow
154,Dzilam Gonzalez,MX,21.28,-88.93,76.41,94,100,14.03,light rain
155,Guiyang,CN,26.58,106.72,59.0,100,90,4.47,light rain
156,Nioro,GM,13.35,-15.75,97.25,25,4,3.49,clear sky
157,Isangel,VU,-19.55,169.27,74.03,82,30,13.69,scattered clouds
158,Hofn,IS,64.25,-15.21,37.47,78,100,20.98,overcast clouds
159,Deqing,CN,30.54,119.96,64.99,92,36,7.0,scattered clouds
160,Orlik,RU,52.52,99.83,21.36,86,50,3.24,scattered clouds
161,Shimoda,JP,34.67,138.95,54.0,82,15,6.49,few clouds
162,Ulladulla,AU,-35.35,150.47,55.99,100,90,1.12,light rain
163,Waddan,LY,29.16,16.14,80.17,20,31,12.44,scattered clouds
164,Saskylakh,RU,71.92,114.08,2.55,92,98,7.45,overcast clouds
165,Saint George,US,37.1,-113.58,46.99,13,1,4.7,clear sky
166,Khatanga,RU,71.97,102.5,2.75,94,98,13.0,overcast clouds
167,Paamiut,GL,61.99,-49.67,28.9,86,0,18.21,clear sky
168,Sitka,US,57.05,-135.33,44.6,87,90,3.36,light rain
169,Yugorsk,RU,61.31,63.33,20.1,95,43,2.59,scattered clouds
170,Lasa,IT,46.62,10.7,44.01,69,75,3.36,broken clouds
171,San Patricio,US,28.02,-97.52,57.2,100,90,9.17,overcast clouds
172,Bubaque,GW,11.28,-15.83,83.98,74,82,10.38,broken clouds
173,Narsaq,GL,60.92,-46.05,33.8,69,75,3.36,broken clouds
174,Borovoy,RU,55.43,86.08,46.4,65,0,6.71,clear sky
175,Seoul,KR,37.57,126.98,57.2,93,90,3.62,overcast clouds
176,Vila Franca Do Campo,PT,37.72,-25.43,68.0,64,20,13.87,few clouds
177,Bambous Virieux,MU,-20.34,57.76,75.2,73,75,5.82,broken clouds
178,Nabire,ID,-3.37,135.48,76.21,86,97,4.14,light rain
179,Gunnedah,AU,-30.98,150.25,59.0,82,75,8.05,broken clouds
180,Dikson,RU,73.51,80.55,10.42,96,100,17.43,overcast clouds
181,La Libertad,EC,-2.23,-80.9,73.4,83,75,9.17,broken clouds
182,Batemans Bay,AU,-35.72,150.18,54.0,97,88,4.9,overcast clouds
183,Prince Rupert,CA,54.32,-130.32,48.2,100,90,2.84,light rain
184,Port Keats,AU,-14.25,129.55,79.84,79,70,5.82,broken clouds
185,Tommot,RU,58.96,126.29,14.72,95,100,4.54,light snow
186,Arraial Do Cabo,BR,-22.97,-42.03,82.4,65,0,12.75,clear sky
187,Mount Isa,AU,-20.73,139.5,69.8,16,0,10.29,clear sky
188,Darhan,MN,49.49,105.92,30.47,86,0,7.0,clear sky
189,Port Hardy,CA,50.7,-127.42,46.4,93,75,4.7,light rain
190,Nalut,LY,30.33,10.85,69.22,30,0,10.02,clear sky
191,Joaquim Gomes,BR,-9.14,-35.75,84.2,70,75,13.87,broken clouds
192,Guatire,VE,10.48,-66.54,81.0,58,49,4.0,light rain
193,Semnan,IR,35.57,53.4,61.32,45,0,6.46,clear sky
194,Katsuura,JP,35.13,140.3,60.8,72,20,9.17,few clouds
195,Ous,RU,60.91,61.52,19.06,95,85,1.28,overcast clouds
196,Tessalit,ML,20.2,1.01,90.45,12,0,7.11,clear sky
197,Boende,CD,-0.22,20.87,74.26,95,86,1.83,moderate rain
198,Hithadhoo,MV,-0.6,73.08,83.95,66,76,8.3,broken clouds
199,Tuatapere,NZ,-46.13,167.68,39.0,92,12,1.01,few clouds
200,Talaya,RU,61.38,152.75,10.76,92,31,3.22,scattered clouds
201,Quesnel,CA,53.0,-122.5,35.6,90,90,16.11,moderate rain
202,Sawakin,SD,19.11,37.33,84.36,72,0,3.98,clear sky
203,Port Pirie,AU,-33.18,138.02,55.4,87,0,5.82,clear sky
204,Ashibetsu,JP,43.51,142.19,40.41,86,100,2.19,overcast clouds
205,Te Anau,NZ,-45.42,167.72,39.52,90,31,1.03,scattered clouds
206,Batagay,RU,67.63,134.63,6.64,94,100,2.8,overcast clouds
207,Bandarbeyla,SO,9.49,50.81,76.62,78,0,13.15,clear sky
208,Luanda,AO,-8.84,13.23,78.8,83,75,9.17,broken clouds
209,Broome,US,42.25,-75.83,48.99,81,90,4.7,overcast clouds
210,Najran,SA,17.49,44.13,75.2,19,0,6.93,clear sky
211,Hoquiam,US,46.98,-123.89,45.0,100,90,6.93,mist
212,Miguel Alves,BR,-4.17,-42.9,103.55,25,27,3.71,light rain
213,Pacifica,US,37.61,-122.49,66.99,32,20,9.17,few clouds
214,Codrington,AU,-38.27,141.97,46.38,94,22,6.49,few clouds
215,Jumla,NP,29.27,82.18,44.92,59,0,3.91,clear sky
216,Hearst,CA,49.68,-83.67,33.39,87,98,13.69,overcast clouds
217,Riyadh,SA,24.69,46.72,75.2,33,0,7.07,clear sky
218,Uthal,PK,25.81,66.62,76.66,49,0,2.66,clear sky
219,Teya,RU,60.38,92.63,24.62,95,100,11.95,snow
220,Clyde River,CA,70.47,-68.59,14.0,56,75,10.29,broken clouds
221,Nanortalik,GL,60.14,-45.24,31.39,88,100,5.48,overcast clouds
222,Grindavik,IS,63.84,-22.43,42.8,52,0,25.28,clear sky
223,Barranca,PE,-10.75,-77.77,68.59,69,82,8.84,broken clouds
224,Meulaboh,ID,4.14,96.13,77.45,85,89,2.64,light rain
225,Bredasdorp,ZA,-34.53,20.04,66.2,72,91,10.29,overcast clouds
226,Nizwa,OM,22.93,57.53,71.76,33,0,4.47,clear sky
227,Kadyy,RU,57.79,43.19,35.2,90,79,7.58,broken clouds
228,Omboue,GA,-1.57,9.26,77.99,83,84,9.01,broken clouds
229,Sola,VU,-13.88,167.55,79.0,79,70,18.3,broken clouds
230,Alekseyevka,RU,50.63,38.69,48.33,58,100,13.09,overcast clouds
231,Bridlington,GB,54.08,-0.19,51.8,93,100,11.41,light rain
232,Orotukan,RU,62.27,151.7,11.64,84,0,4.76,clear sky
233,Ghanzi,BW,-21.57,21.78,84.11,17,90,7.7,overcast clouds
234,Bara,NG,10.37,10.73,91.4,21,0,10.29,clear sky
235,Itarema,BR,-2.92,-39.92,86.92,56,35,14.74,scattered clouds
236,Taoudenni,ML,22.68,-3.98,96.6,10,93,7.02,overcast clouds
237,Kayerkan,RU,69.35,87.76,1.4,84,0,6.71,clear sky
238,Sao Pedro Do Sul,BR,-29.62,-54.18,68.0,72,75,8.05,broken clouds
239,Souillac,MU,-20.52,57.52,75.2,73,75,5.82,broken clouds
240,Seymchan,RU,62.88,152.43,9.88,92,18,3.83,few clouds
241,Komsomolskiy,UZ,40.43,71.72,51.8,53,100,6.93,mist
242,Longyearbyen,SJ,78.22,15.64,32.0,94,75,11.41,light snow
243,Hambantota,LK,6.12,81.12,79.86,81,86,10.54,overcast clouds
244,Esterhazy,CA,50.65,-102.08,34.7,90,100,18.37,overcast clouds
245,Eyl,SO,7.98,49.82,79.05,66,83,9.8,broken clouds
246,Poum,NC,-20.23,164.02,76.26,77,83,17.96,broken clouds
247,Ambilobe,MG,-13.2,49.05,75.94,78,52,2.55,light rain
248,Benguela,AO,-12.58,13.41,76.69,77,9,9.26,clear sky
249,Payo,ID,-3.75,103.64,73.58,92,99,1.99,overcast clouds
250,Vardo,NO,70.37,31.11,35.6,84,40,26.4,scattered clouds
251,Kattivakkam,IN,13.22,80.32,82.4,78,75,2.24,mist
252,Umm Lajj,SA,25.02,37.27,82.58,59,0,7.76,clear sky
253,Inuvik,CA,68.35,-133.72,10.4,92,90,3.36,light snow
254,Shache,CN,38.42,77.24,39.85,63,0,3.15,clear sky
255,Balaguer,ES,41.79,0.81,61.0,54,0,10.29,clear sky
256,Thompson,CA,55.74,-97.86,24.8,73,90,5.82,overcast clouds
257,Sur,OM,22.57,59.53,71.65,57,0,1.01,clear sky
258,Touros,BR,-5.2,-35.46,86.0,62,75,13.87,broken clouds
259,Tautira,PF,-17.73,-149.15,78.8,83,75,11.41,broken clouds
260,Ryotsu,JP,38.08,138.43,55.98,63,20,2.46,few clouds
261,Daulatpur,PK,26.5,67.97,77.0,50,0,4.7,haze
262,Ahipara,NZ,-35.17,173.17,57.52,91,66,2.91,broken clouds
263,Khash,IR,28.22,61.22,54.36,31,0,5.39,clear sky
264,Vestmannaeyjar,IS,63.44,-20.27,41.0,75,75,41.38,broken clouds
265,Maniitsoq,GL,65.42,-52.9,22.6,88,1,7.85,clear sky
266,Fort Collins,US,40.59,-105.08,32.0,64,0,1.01,clear sky
267,Baruun-Urt,MN,46.68,113.28,27.28,75,0,6.87,clear sky
268,Diego De Almagro,CL,-26.37,-70.05,79.03,20,2,10.83,clear sky
269,Kaman,IN,27.65,77.27,72.97,21,0,3.76,clear sky
270,Ostrovnoy,RU,68.05,39.51,41.32,92,100,18.1,overcast clouds
271,Deer Lake,CA,49.17,-57.43,33.8,92,90,6.93,overcast clouds
272,Pogonsili,PH,15.82,120.26,76.37,84,99,7.92,light rain
273,Ngaoundere,CM,7.32,13.58,68.34,62,35,4.12,scattered clouds
274,Anadyr,RU,64.75,177.48,12.2,85,0,6.71,clear sky
275,Kalmunai,LK,7.42,81.82,80.6,78,47,4.74,light rain
276,Kysyl-Syr,RU,63.9,122.76,1.26,92,11,2.37,few clouds
277,Mashivka,UA,49.44,34.87,53.58,50,85,11.74,overcast clouds
278,Tazovskiy,RU,67.47,78.7,-3.19,90,0,8.48,clear sky
279,Namatanai,PG,-3.67,152.43,79.34,78,61,2.82,broken clouds
280,Lufilufi,WS,-13.87,-171.6,75.2,100,40,4.7,scattered clouds
281,Sioux Lookout,CA,50.1,-91.92,21.2,73,90,17.22,overcast clouds
282,Cherskiy,RU,68.75,161.3,5.65,93,45,7.16,scattered clouds
283,Ixtapa,MX,20.7,-105.2,88.0,66,40,3.36,scattered clouds
284,Nome,US,64.5,-165.41,30.2,80,90,4.88,overcast clouds
285,Kirakira,SB,-10.45,161.92,79.3,83,93,8.3,light rain
286,Viedma,AR,-40.81,-63.0,65.93,34,100,15.77,overcast clouds
287,Kuytun,RU,54.34,101.5,28.02,95,83,5.3,broken clouds
288,Tabou,CI,4.42,-7.35,80.33,81,99,7.99,light rain
289,Kahului,US,20.89,-156.47,78.8,74,1,3.0,clear sky
290,Port Macquarie,AU,-31.43,152.92,59.0,96,98,6.6,overcast clouds
291,Tiznit,MA,29.58,-9.5,67.68,56,0,6.89,clear sky
292,Kloulklubed,PW,7.04,134.26,75.2,94,40,3.18,scattered clouds
293,Krasnobrodskiy,RU,54.16,86.45,42.3,73,100,12.1,overcast clouds
294,Puro,PH,12.48,123.38,80.4,77,92,4.05,overcast clouds
295,Kodiak,US,57.79,-152.41,42.8,60,1,9.17,clear sky
296,Sao Filipe,CV,14.9,-24.5,82.67,65,97,8.32,overcast clouds
297,La Rioja,ES,42.25,-2.5,59.0,62,75,12.75,broken clouds
298,Taksimo,RU,56.34,114.88,11.8,85,5,1.97,clear sky
299,Bilma,NE,18.69,12.92,77.52,17,0,3.33,clear sky
300,Ajdabiya,LY,30.76,20.23,77.5,42,0,3.31,clear sky
301,Guerrero Negro,MX,27.98,-114.06,69.19,24,0,14.27,clear sky
302,Srednekolymsk,RU,67.45,153.68,13.15,89,90,6.58,overcast clouds
303,Yenagoa,NG,4.92,6.26,78.33,89,94,7.05,moderate rain
304,Tripoli,LY,32.88,13.19,68.04,67,49,16.69,moderate rain
305,Grand Gaube,MU,-20.01,57.66,73.0,73,10,3.0,clear sky
306,Honiara,SB,-9.43,159.95,73.4,100,40,3.36,scattered clouds
307,Beringovskiy,RU,63.05,179.32,28.08,92,81,11.3,broken clouds
308,Sam Roi Yot,TH,12.27,99.87,76.39,88,97,3.51,overcast clouds
309,Marfino,RU,55.7,37.38,46.99,75,0,6.71,clear sky
310,Iberia,US,29.95,-91.75,81.0,78,90,9.17,overcast clouds
311,Sompeta,IN,18.93,84.6,77.65,58,5,4.97,clear sky
312,Lazaro Cardenas,MX,17.96,-102.2,85.3,73,98,2.21,overcast clouds
313,Faanui,PF,-16.48,-151.75,79.66,82,76,17.49,broken clouds
314,Naze,JP,28.37,129.48,68.0,82,20,3.36,few clouds
315,Ibirama,BR,-27.06,-49.52,89.01,37,0,1.01,clear sky
316,Wells,GB,51.21,-2.65,52.0,81,75,17.22,broken clouds
317,Dongning,CN,44.06,131.12,37.29,75,27,4.45,scattered clouds
318,Dubbo,AU,-32.25,148.62,57.2,82,40,16.11,scattered clouds
319,Chara,RU,56.91,118.26,1.22,84,23,0.58,few clouds
320,Derzhavinsk,KZ,51.1,66.32,29.91,96,100,20.36,overcast clouds
321,Glens Falls,US,43.31,-73.64,46.99,75,90,4.7,overcast clouds
322,Caravelas,BR,-17.71,-39.25,82.24,69,85,7.2,overcast clouds
323,Cozumel,MX,20.51,-86.95,84.2,79,75,17.92,broken clouds
324,Saint Anthony,US,45.02,-93.22,30.0,63,1,11.41,clear sky
325,Mbandaka,CD,0.05,18.26,76.48,89,43,2.21,light rain
326,Yumen,CN,40.28,97.2,38.91,62,100,1.97,overcast clouds
327,Kalmar,SE,56.66,16.36,52.0,93,75,9.17,light rain
328,Miandrivazo,MG,-19.52,45.47,82.45,48,7,0.85,light rain
329,Vila Velha,BR,-20.33,-40.29,81.0,69,40,12.75,scattered clouds
